allenatore_id,atleta_id
1,74
1,86
2,62
2,73
2,74
3,144
4,112
4,126
5,67
5,69
5,111
6,61
6,92
6,106
7,95
7,124
7,146
8,103
8,146
8,148
9,52
9,122
9,145
10,67
10,123
10,127
10,135
10,138
12,65
14,80
14,99
14,126
15,103
15,105
15,129
17,57
17,98
18,124
18,130
18,140
19,109
19,127
20,96
20,109
21,99
21,105
21,136
22,95
22,109
22,136
22,150
23,81
23,136
24,116
26,104
26,105
27,109
27,118
28,63
28,108
29,60
29,115
29,150
31,59
31,79
32,142
33,78
33,128
35,83
36,54
36,98
36,122
36,142
36,149
38,64
38,92
39,69
39,118
39,135
40,129
41,125
42,54
42,134
43,54
43,102
43,117
44,64
44,133
45,65
45,85
47,57
47,63
47,78
48,98
48,118
48,132
49,90
49,105
49,121
50,121
