atleta_id,obiettivo
58,Migliorare flessibilita
58,Prepararsi per gara
60,Aumentare forza
60,Recupero infortunio
66,Migliorare resistenza
67,Aumentare forza
71,Migliorare resistenza
73,Perdere peso
73,Prepararsi per gara
78,Aumentare forza
87,Aumentare forza
87,Migliorare velocita
87,Recupero infortunio
88,Aumentare forza
88,Migliorare flessibilita
90,Perdere peso
90,Prepararsi per gara
90,Recupero infortunio
91,Recupero infortunio
92,Perdere peso
92,Prepararsi per gara
93,Aumentare forza
95,Migliorare velocita
95,Perdere peso
95,Recupero infortunio
96,Aumentare forza
99,Aumentare massa muscolare
101,Migliorare resistenza
101,Migliorare velocita
102,Migliorare resistenza
103,Migliorare flessibilita
104,Migliorare velocita
106,Migliorare resistenza
106,Recupero infortunio
107,Migliorare velocita
107,Perdere peso
108,Aumentare massa muscolare
108,Migliorare resistenza
116,Migliorare flessibilita
118,Aumentare forza
118,Aumentare massa muscolare
118,Migliorare velocita
124,Recupero infortunio
128,Perdere peso
129,Recupero infortunio
130,Prepararsi per gara
133,Aumentare forza
133,Migliorare flessibilita
133,Recupero infortunio
134,Recupero infortunio
137,Aumentare forza
137,Migliorare resistenza
137,Prepararsi per gara
141,Prepararsi per gara
141,Recupero infortunio
145,Migliorare resistenza
150,Aumentare forza
150,Migliorare flessibilita
150,Perdere peso
