id_esercizio,id_sessione
1,58
2,49
3,85
4,84
5,16
6,68
7,1
8,39
9,93
10,69
11,32
12,20
13,93
14,5
15,79
16,31
17,13
18,58
19,91
20,32
21,52
22,70
23,18
24,30
25,74
26,77
27,31
28,85
29,53
30,8
31,81
32,72
33,45
34,49
35,41
36,53
37,49
38,31
39,39
40,60
41,72
42,72
43,50
44,27
45,58
46,12
47,25
48,49
49,10
50,76
51,72
52,27
53,39
54,28
55,95
56,97
57,90
58,51
59,71
60,49
61,84
62,34
63,60
64,61
65,27
66,53
67,95
68,34
69,75
70,38
71,43
72,73
73,64
74,33
75,93
76,63
77,94
78,22
79,70
80,70
81,68
82,86
83,1
84,81
85,91
86,28
87,48
88,82
89,85
90,1
91,2
92,69
93,65
94,87
95,14
96,68
97,25
98,33
99,35
100,11
