id_sessione,id_esercizio
58,1
49,2
85,3
84,4
16,5
68,6
1,7
39,8
93,9
69,10
32,11
20,12
93,13
5,14
79,15
31,16
13,17
58,18
91,19
32,20
52,21
70,22
18,23
30,24
74,25
77,26
31,27
85,28
53,29
8,30
81,31
72,32
45,33
49,34
41,35
53,36
49,37
31,38
39,39
60,40
72,41
72,42
50,43
27,44
58,45
12,46
25,47
49,48
10,49
76,50
72,51
27,52
39,53
28,54
95,55
97,56
90,57
51,58
71,59
49,60
84,61
34,62
60,63
61,64
27,65
53,66
95,67
34,68
75,69
38,70
43,71
73,72
64,73
33,74
93,75
63,76
94,77
22,78
70,79
70,80
68,81
86,82
1,83
81,84
91,85
28,86
48,87
82,88
85,89
1,90
2,91
69,92
65,93
87,94
14,95
68,96
25,97
33,98
35,99
11,100
