id,ripetizioni,DTYPE,nota,tempo
1,23,RIPETIZIONI,Nota risultato 1,
2,,TEMPO,Nota risultato 2,23 min
3,,TEMPO,Nota risultato 3,42 min
4,14,RIPETIZIONI,Nota risultato 4,
5,1,RIPETIZIONI,Nota risultato 5,
6,20,RIPETIZIONI,Nota risultato 6,
7,12,RIPETIZIONI,Nota risultato 7,
8,8,RIPETIZIONI,Nota risultato 8,
9,,TEMPO,Nota risultato 9,78 min
10,14,RIPETIZIONI,Nota risultato 10,
11,6,RIPETIZIONI,Nota risultato 11,
12,,TEMPO,Nota risultato 12,90 min
13,22,RIPETIZIONI,Nota risultato 13,
14,,TEMPO,Nota risultato 14,15 min
15,17,RIPETIZIONI,Nota risultato 15,
16,12,RIPETIZIONI,Nota risultato 16,
17,3,RIPETIZIONI,Nota risultato 17,
18,17,RIPETIZIONI,Nota risultato 18,
19,,TEMPO,Nota risultato 19,74 min
20,17,RIPETIZIONI,Nota risultato 20,
21,,TEMPO,Nota risultato 21,69 min
22,,TEMPO,Nota risultato 22,75 min
23,1,RIPETIZIONI,Nota risultato 23,
24,,TEMPO,Nota risultato 24,54 min
25,,TEMPO,Nota risultato 25,65 min
26,,TEMPO,Nota risultato 26,10 min
27,21,RIPETIZIONI,Nota risultato 27,
28,13,RIPETIZIONI,Nota risultato 28,
29,,TEMPO,Nota risultato 29,52 min
30,,TEMPO,Nota risultato 30,37 min
31,24,RIPETIZIONI,Nota risultato 31,
32,,TEMPO,Nota risultato 32,7 min
33,,TEMPO,Nota risultato 33,50 min
34,,TEMPO,Nota risultato 34,13 min
35,,TEMPO,Nota risultato 35,49 min
36,,TEMPO,Nota risultato 36,35 min
37,,TEMPO,Nota risultato 37,89 min
38,21,RIPETIZIONI,Nota risultato 38,
39,4,RIPETIZIONI,Nota risultato 39,
40,25,RIPETIZIONI,Nota risultato 40,
41,,TEMPO,Nota risultato 41,79 min
42,24,RIPETIZIONI,Nota risultato 42,
43,,TEMPO,Nota risultato 43,47 min
44,,TEMPO,Nota risultato 44,22 min
45,2,RIPETIZIONI,Nota risultato 45,
46,12,RIPETIZIONI,Nota risultato 46,
47,,TEMPO,Nota risultato 47,74 min
48,11,RIPETIZIONI,Nota risultato 48,
49,21,RIPETIZIONI,Nota risultato 49,
50,,TEMPO,Nota risultato 50,27 min
51,,TEMPO,Nota risultato 51,64 min
52,23,RIPETIZIONI,Nota risultato 52,
53,,TEMPO,Nota risultato 53,66 min
54,21,RIPETIZIONI,Nota risultato 54,
55,6,RIPETIZIONI,Nota risultato 55,
56,,TEMPO,Nota risultato 56,22 min
57,,TEMPO,Nota risultato 57,13 min
58,23,RIPETIZIONI,Nota risultato 58,
59,,TEMPO,Nota risultato 59,63 min
60,2,RIPETIZIONI,Nota risultato 60,
61,,TEMPO,Nota risultato 61,42 min
62,,TEMPO,Nota risultato 62,30 min
63,2,RIPETIZIONI,Nota risultato 63,
64,,TEMPO,Nota risultato 64,30 min
65,2,RIPETIZIONI,Nota risultato 65,
66,,TEMPO,Nota risultato 66,45 min
67,10,RIPETIZIONI,Nota risultato 67,
68,17,RIPETIZIONI,Nota risultato 68,
69,,TEMPO,Nota risultato 69,55 min
70,18,RIPETIZIONI,Nota risultato 70,
71,,TEMPO,Nota risultato 71,65 min
72,9,RIPETIZIONI,Nota risultato 72,
73,2,RIPETIZIONI,Nota risultato 73,
74,25,RIPETIZIONI,Nota risultato 74,
75,,TEMPO,Nota risultato 75,87 min
76,,TEMPO,Nota risultato 76,29 min
77,10,RIPETIZIONI,Nota risultato 77,
78,,TEMPO,Nota risultato 78,50 min
79,,TEMPO,Nota risultato 79,11 min
80,21,RIPETIZIONI,Nota risultato 80,
81,11,RIPETIZIONI,Nota risultato 81,
82,9,RIPETIZIONI,Nota risultato 82,
83,,TEMPO,Nota risultato 83,20 min
84,12,RIPETIZIONI,Nota risultato 84,
85,14,RIPETIZIONI,Nota risultato 85,
86,,TEMPO,Nota risultato 86,56 min
87,24,RIPETIZIONI,Nota risultato 87,
88,,TEMPO,Nota risultato 88,61 min
89,13,RIPETIZIONI,Nota risultato 89,
90,,TEMPO,Nota risultato 90,48 min
91,6,RIPETIZIONI,Nota risultato 91,
92,16,RIPETIZIONI,Nota risultato 92,
93,23,RIPETIZIONI,Nota risultato 93,
94,,TEMPO,Nota risultato 94,68 min
95,,TEMPO,Nota risultato 95,52 min
96,17,RIPETIZIONI,Nota risultato 96,
97,9,RIPETIZIONI,Nota risultato 97,
98,,TEMPO,Nota risultato 98,15 min
99,24,RIPETIZIONI,Nota risultato 99,
100,14,RIPETIZIONI,Nota risultato 100,
