id,dataSvolgimento,stato,allenatore_id,atleta_id,descrizione,durata,titolo
1,2022-06-11,1,39,74,Sessione di allenamento 1,PT99M,Allenamento Calcio #1
2,2023-10-20,0,6,92,Sessione di allenamento 2,PT114M,Allenamento Calcio #2
3,2023-09-20,1,39,142,Sessione di allenamento 3,PT84M,Allenamento Ciclismo #3
4,2024-06-28,1,29,56,Sessione di allenamento 4,PT75M,Allenamento Boxe #4
5,2024-06-09,1,41,58,Sessione di allenamento 5,PT39M,Allenamento Ginnastica #5
6,2024-01-15,0,2,69,Sessione di allenamento 6,PT107M,Allenamento Lotta #6
7,2022-03-13,0,5,81,Sessione di allenamento 7,PT112M,Allenamento Tennis #7
8,2024-01-12,1,37,55,Sessione di allenamento 8,PT107M,Allenamento Ciclismo #8
9,2024-07-10,1,24,107,Sessione di allenamento 9,PT39M,Allenamento Boxe #9
10,2022-10-09,1,26,91,Sessione di allenamento 10,PT113M,Allenamento Calcio #10
11,2023-05-27,0,2,145,Sessione di allenamento 11,PT53M,Allenamento Lotta #11
12,2024-11-26,1,36,66,Sessione di allenamento 12,PT63M,Allenamento Calcio #12
13,2024-07-02,0,40,87,Sessione di allenamento 13,PT118M,Allenamento Lotta #13
14,2023-02-14,0,9,60,Sessione di allenamento 14,PT87M,Allenamento Ciclismo #14
15,2024-06-30,0,44,91,Sessione di allenamento 15,PT115M,Allenamento Tennis #15
16,2022-05-13,1,20,71,Sessione di allenamento 16,PT120M,Allenamento Ciclismo #16
17,2024-01-11,0,8,76,Sessione di allenamento 17,PT47M,Allenamento Pallacanestro #17
18,2024-10-08,0,24,121,Sessione di allenamento 18,PT103M,Allenamento Tennis #18
19,2024-08-15,0,40,62,Sessione di allenamento 19,PT38M,Allenamento Calcio #19
20,2024-03-26,1,34,103,Sessione di allenamento 20,PT82M,Allenamento Boxe #20
21,2022-06-01,0,21,133,Sessione di allenamento 21,PT39M,Allenamento Lotta #21
22,2024-08-12,1,9,150,Sessione di allenamento 22,PT100M,Allenamento Boxe #22
23,2023-01-08,0,28,115,Sessione di allenamento 23,PT37M,Allenamento Atletica #23
24,2024-11-27,0,20,72,Sessione di allenamento 24,PT50M,Allenamento Tennis #24
25,2023-04-07,1,34,87,Sessione di allenamento 25,PT40M,Allenamento Calcio #25
26,2023-02-07,1,9,131,Sessione di allenamento 26,PT68M,Allenamento Boxe #26
27,2024-12-28,0,33,133,Sessione di allenamento 27,PT51M,Allenamento Boxe #27
28,2022-11-12,0,43,130,Sessione di allenamento 28,PT107M,Allenamento Tennis #28
29,2022-03-26,0,6,56,Sessione di allenamento 29,PT112M,Allenamento Boxe #29
30,2023-06-27,0,50,124,Sessione di allenamento 30,PT83M,Allenamento Boxe #30
31,2022-03-04,1,41,120,Sessione di allenamento 31,PT67M,Allenamento Calcio #31
32,2024-09-16,0,44,102,Sessione di allenamento 32,PT68M,Allenamento Lotta #32
33,2022-05-30,0,11,107,Sessione di allenamento 33,PT83M,Allenamento Lotta #33
34,2024-08-09,0,22,128,Sessione di allenamento 34,PT48M,Allenamento Tennis #34
35,2023-10-16,1,26,67,Sessione di allenamento 35,PT77M,Allenamento Judo #35
36,2022-08-06,1,16,110,Sessione di allenamento 36,PT45M,Allenamento Calcio #36
37,2024-07-09,0,10,63,Sessione di allenamento 37,PT36M,Allenamento Calcio #37
38,2024-02-26,1,16,71,Sessione di allenamento 38,PT71M,Allenamento Boxe #38
39,2023-10-03,0,49,71,Sessione di allenamento 39,PT93M,Allenamento Judo #39
40,2024-08-14,1,20,114,Sessione di allenamento 40,PT32M,Allenamento Atletica #40
41,2024-03-16,1,16,78,Sessione di allenamento 41,PT104M,Allenamento Tennis #41
42,2022-04-10,0,19,114,Sessione di allenamento 42,PT106M,Allenamento Lotta #42
43,2023-08-09,0,7,106,Sessione di allenamento 43,PT47M,Allenamento Calcio #43
44,2024-01-20,1,24,56,Sessione di allenamento 44,PT81M,Allenamento Nuoto #44
45,2023-02-03,1,36,87,Sessione di allenamento 45,PT39M,Allenamento Ginnastica #45
46,2024-10-29,1,49,121,Sessione di allenamento 46,PT65M,Allenamento Boxe #46
47,2022-09-01,0,7,101,Sessione di allenamento 47,PT77M,Allenamento Tennis #47
48,2024-01-19,0,13,128,Sessione di allenamento 48,PT95M,Allenamento Ginnastica #48
49,2024-10-21,0,3,55,Sessione di allenamento 49,PT47M,Allenamento Tennis #49
50,2024-08-28,1,10,128,Sessione di allenamento 50,PT95M,Allenamento Ciclismo #50
51,2023-11-03,1,11,101,Sessione di allenamento 51,PT108M,Allenamento Calcio #51
52,2023-11-20,1,46,123,Sessione di allenamento 52,PT68M,Allenamento Lotta #52
53,2022-02-04,1,22,137,Sessione di allenamento 53,PT44M,Allenamento Ginnastica #53
54,2023-09-23,0,39,111,Sessione di allenamento 54,PT63M,Allenamento Boxe #54
55,2023-04-12,0,38,112,Sessione di allenamento 55,PT51M,Allenamento Judo #55
56,2024-02-18,0,44,82,Sessione di allenamento 56,PT34M,Allenamento Boxe #56
57,2022-08-14,0,2,107,Sessione di allenamento 57,PT70M,Allenamento Ginnastica #57
58,2022-11-07,1,45,77,Sessione di allenamento 58,PT82M,Allenamento Judo #58
59,2024-08-23,0,46,68,Sessione di allenamento 59,PT96M,Allenamento Pallacanestro #59
60,2023-10-28,1,34,99,Sessione di allenamento 60,PT70M,Allenamento Ciclismo #60
61,2024-07-30,1,35,96,Sessione di allenamento 61,PT116M,Allenamento Calcio #61
62,2024-09-18,0,16,86,Sessione di allenamento 62,PT101M,Allenamento Calcio #62
63,2023-04-06,1,50,87,Sessione di allenamento 63,PT120M,Allenamento Pallacanestro #63
64,2024-09-28,1,31,95,Sessione di allenamento 64,PT101M,Allenamento Calcio #64
65,2023-08-13,0,37,137,Sessione di allenamento 65,PT99M,Allenamento Ginnastica #65
66,2024-03-19,1,50,69,Sessione di allenamento 66,PT67M,Allenamento Nuoto #66
67,2023-08-13,0,23,107,Sessione di allenamento 67,PT113M,Allenamento Calcio #67
68,2024-09-08,0,13,119,Sessione di allenamento 68,PT64M,Allenamento Judo #68
69,2023-07-11,0,7,129,Sessione di allenamento 69,PT105M,Allenamento Pallacanestro #69
70,2023-05-12,0,43,118,Sessione di allenamento 70,PT58M,Allenamento Pallacanestro #70
71,2022-04-18,0,27,93,Sessione di allenamento 71,PT90M,Allenamento Atletica #71
72,2022-10-09,0,36,71,Sessione di allenamento 72,PT82M,Allenamento Lotta #72
73,2024-09-04,0,49,87,Sessione di allenamento 73,PT71M,Allenamento Calcio #73
74,2022-05-02,0,42,124,Sessione di allenamento 74,PT59M,Allenamento Judo #74
75,2022-03-18,0,27,73,Sessione di allenamento 75,PT34M,Allenamento Ginnastica #75
76,2024-10-11,0,48,88,Sessione di allenamento 76,PT34M,Allenamento Nuoto #76
77,2023-09-04,0,22,87,Sessione di allenamento 77,PT88M,Allenamento Judo #77
78,2024-12-09,1,9,115,Sessione di allenamento 78,PT89M,Allenamento Calcio #78
79,2023-01-30,0,22,71,Sessione di allenamento 79,PT88M,Allenamento Calcio #79
80,2023-01-17,0,48,94,Sessione di allenamento 80,PT67M,Allenamento Boxe #80
81,2023-01-31,0,40,132,Sessione di allenamento 81,PT81M,Allenamento Ginnastica #81
82,2024-11-21,1,6,102,Sessione di allenamento 82,PT115M,Allenamento Atletica #82
83,2023-01-14,0,31,92,Sessione di allenamento 83,PT61M,Allenamento Nuoto #83
