id,dataSvolgimento,stato,allenatore_id,atleta_id,descrizione,durata,titolo
1,2022-06-11,0,39,74,Sessione di allenamento 1,PT99M,Allenamento Calcio #1
2,2023-10-20,0,6,92,Sessione di allenamento 2,PT114M,Allenamento Calcio #2
5,2024-06-09,0,41,58,Sessione di allenamento 5,PT39M,Allenamento Ginnastica #5
8,2024-01-12,0,37,55,Sessione di allenamento 8,PT107M,Allenamento Ciclismo #8
10,2022-10-09,0,26,91,Sessione di allenamento 10,PT113M,Allenamento Calcio #10
11,2023-05-27,0,2,145,Sessione di allenamento 11,PT53M,Allenamento Lotta #11
12,2024-11-26,0,36,66,Sessione di allenamento 12,PT63M,Allenamento Calcio #12
13,2024-07-02,0,40,87,Sessione di allenamento 13,PT118M,Allenamento Lotta #13
14,2023-02-14,0,9,60,Sessione di allenamento 14,PT87M,Allenamento Ciclismo #14
16,2022-05-13,0,20,71,Sessione di allenamento 16,PT120M,Allenamento Ciclismo #16
18,2024-10-08,0,24,121,Sessione di allenamento 18,PT103M,Allenamento Tennis #18
20,2024-03-26,0,34,103,Sessione di allenamento 20,PT82M,Allenamento Boxe #20
22,2024-08-12,0,9,150,Sessione di allenamento 22,PT100M,Allenamento Boxe #22
25,2023-04-07,0,34,87,Sessione di allenamento 25,PT40M,Allenamento Calcio #25
27,2024-12-28,0,33,133,Sessione di allenamento 27,PT51M,Allenamento Boxe #27
28,2022-11-12,0,43,130,Sessione di allenamento 28,PT107M,Allenamento Tennis #28
30,2023-06-27,0,50,124,Sessione di allenamento 30,PT83M,Allenamento Boxe #30
31,2022-03-04,0,41,120,Sessione di allenamento 31,PT67M,Allenamento Calcio #31
32,2024-09-16,0,44,102,Sessione di allenamento 32,PT68M,Allenamento Lotta #32
33,2022-05-30,0,11,107,Sessione di allenamento 33,PT83M,Allenamento Lotta #33
34,2024-08-09,0,22,128,Sessione di allenamento 34,PT48M,Allenamento Tennis #34
35,2023-10-16,0,26,67,Sessione di allenamento 35,PT77M,Allenamento Judo #35
